Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
USA,"102,747,552",,"1,118,757",,,"1,960,315","306,888","3,342","3,447,818",North America,299,0,,"5,855"
India,"44,680,261",,"530,707",,,"3,887","31,764",377,"647,592",Asia,"2,650",2,,3
France,"39,356,184",,"162,377",,,"673,202","600,083","2,476","4,139,547",Europe,404,0,,"10,265"
Germany,"37,410,650",,"161,714",,,"538,936","445,983","1,928","1,458,359",Europe,519,1,,"6,425"
Brazil,"36,397,820",,"694,235",,,"621,652","169,014","3,224","296,146",South America,310,3,,"2,887"
Japan,"29,467,627",,"57,944",,,"8,244,223","234,643",461,"695,108",Asia,"2,167",1,,"65,647"
S. Korea,"29,299,166","+78,575","32,355",+54,"+66,723","1,169,681","570,801",630,"307,892",Asia,"1,586",3,1,"22,788"
Italy,"25,143,705",,"184,642",,,"417,661","417,234","3,064","4,356,898",Europe,326,0,,"6,931"
UK,"24,135,084",,"198,937",,"+5,160","76,225","352,348","2,904","7,628,357",Europe,344,0,,"1,113"
Russia,"21,810,511",,"393,853",,,"193,602","149,586","2,701","1,875,095",Europe,370,1,,"1,328"
Turkey,"17,042,722",,"101,492",,N/A,N/A,"199,186","1,186","1,902,052",Asia,843,1,,"1,819"
Spain,"13,684,258",,"117,095",,,"80,480","292,905","2,506","10,082,298",Europe,399,0,,"1,723"
Vietnam,"11,525,408",,"43,186",,,"870,884","116,473",436,"867,342",Asia,"2,291",1,,"8,801"
Australia,"11,135,105","+2,172","17,082",+30,,"138,741","427,143",655,"3,024,116",Australia/Oceania,"1,526",0,1,"5,322"
Argentina,"9,963,697",,"130,171",,,"196,722","216,554","2,829","776,264",South America,353,1,,"4,276"
Taiwan,"8,914,351",,"15,321",,,"398,520","373,163",641,"1,228,881",Asia,"1,559",1,,"16,682"
Netherlands,"8,569,228",,"22,989",,+549,"23,257","497,880","1,336","1,509,718",Europe,749,1,,"1,351"
Iran,"7,561,428",,"144,696",,,"80,474","87,900","1,682","632,632",Asia,595,2,,935
Mexico,"7,252,944",,"331,197",,,"432,331","55,129","2,517","144,742",North America,397,7,,"3,286"
Indonesia,"6,721,095",,"160,648",,,"8,970","24,078",576,"408,329",Asia,"1,738",2,,32
Poland,"6,369,442",,"118,546",,,"914,956","168,773","3,141","1,006,803",Europe,318,1,,"24,244"
Colombia,"6,345,115",,"142,179",,,"38,643","123,176","2,760","717,327",South America,362,1,,750
Austria,"5,712,491",,"21,448",,,"38,146","630,051","2,366","22,569,221",Europe,423,0,,"4,207"
Portugal,"5,557,941",,"25,805",,,"10,304","548,090","2,545","4,519,125",Europe,393,0,,"1,016"
Ukraine,"5,357,941",,"110,813",,+612,"7,514","124,049","2,566","754,855",Europe,390,1,,174
Chile,"5,045,602",,"63,200",,,"7,800","262,107","3,283","2,479,484",South America,305,0,,405
Malaysia,"5,027,790",,"36,859",,,"11,763","151,526","1,111","2,025,676",Asia,900,0,,355
Israel,"4,766,795",,"12,062",,,"10,802","511,130","1,293","4,436,346",Asia,773,0,,"1,158"
Thailand,"4,723,919",,"33,669",,,142,"67,409",480,"246,450",Asia,"2,081",4,,2
Belgium,"4,668,248",,"33,228",,"+1,267","25,036","400,080","2,848","3,112,507",Europe,351,0,,"2,146"
Czechia,"4,580,954",,"42,158",,,"4,693","426,660","3,927","5,289,120",Europe,255,0,,437
Canada,"4,475,268",,"48,948",,"+2,541","49,674","116,579","1,275","1,728,207",North America,784,1,,"1,294"
Peru,"4,460,100",,"218,251",,,"29,940","132,409","6,479","1,109,479",South America,154,1,,889
Switzerland,"4,365,574",,"14,371",,"+1,518","33,330","497,579","1,638","2,643,626",Europe,611,0,,"3,799"
Philippines,"4,065,173",,"65,415",,,"12,660","36,132",581,"302,436",Asia,"1,720",3,,113
South Africa,"4,049,454",,"102,568",,,"34,380","66,651","1,688","435,726",Africa,592,2,,566
Romania,"3,312,085",,"67,408",,"+3,386","7,037","174,033","3,542","1,370,477",Europe,282,1,,370
Denmark,"3,168,542",,"7,848",,,"9,245","543,028","1,345","22,114,889",Europe,743,0,,"1,584"
Hong Kong,"2,685,410",,"12,018",,,"583,522","353,144","1,580","9,726,184",Asia,633,0,,"76,736"
Sweden,"2,674,862",,"21,795",,+413,"39,286","261,755","2,133","1,888,352",Europe,469,1,,"3,844"
Iraq,"2,465,390",,"25,374",,,519,"58,470",602,"463,523",Asia,"1,662",2,,12
Serbia,"2,448,268",,"17,541",,,"14,620","282,938","2,027","1,373,820",Europe,493,1,,"1,690"
Singapore,"2,203,702",,"1,712",,,"71,476","370,772",288,"4,165,098",Asia,"3,472",0,,"12,026"
Hungary,"2,185,816",,"48,495",,,"13,571","227,541","5,048","1,186,160",Europe,198,1,,"1,413"
New Zealand,"2,117,094",,"3,568",,,"21,485","432,219",728,"1,574,177",Australia/Oceania,"1,373",1,,"4,386"
Bangladesh,"2,037,187",,"29,440",,,"19,717","12,134",175,"90,242",Asia,"5,703",11,,117
Slovakia,"1,859,363",,"20,827",,,"1,230","340,531","3,814","1,350,734",Europe,262,1,,225
Georgia,"1,809,359",,"16,899",,,"15,912","455,903","4,258","4,263,340",Asia,235,0,,"4,009"
Jordan,"1,746,997",,"14,122",,,"1,868","169,597","1,371","1,669,945",Asia,729,1,,181
Ireland,"1,687,668",,"8,293",,,"5,843","336,176","1,652","2,575,427",Europe,605,0,,"1,164"
Pakistan,"1,575,855",+22,"30,638",+2,,"6,528","6,867",134,"133,213",Asia,"7,490",8,0.01,28
Norway,"1,475,588",,"4,571",,,"3,287","267,735",829,"1,996,315",Europe,"1,206",1,,596
Finland,"1,438,205",,"7,933",,"+1,819","13,765","258,905","1,428","2,147,795",Europe,700,0,,"2,478"
Kazakhstan,"1,403,328",,"13,695",,,"6,613","73,071",713,"602,707",Asia,"1,402",2,,344
Slovenia,"1,308,470",,"7,013",,,"19,459","629,667","3,375","1,351,210",Europe,296,1,,"9,364"
Bulgaria,"1,292,525",,"38,113",,,"3,836","188,839","5,568","1,593,210",Europe,180,1,,560
Lithuania,"1,289,255",,"9,488",,,"7,231","484,371","3,565","3,876,510",Europe,281,0,,"2,717"
Morocco,"1,271,671",,"16,295",,,359,"33,666",431,"340,545",Africa,"2,318",3,,10
Croatia,"1,264,385",,"17,638",,,"2,152","311,480","4,345","1,337,809",Europe,230,1,,530
Lebanon,"1,222,945",,"10,747",,,"124,611","182,943","1,608","717,380",Asia,622,1,,"18,641"
Guatemala,"1,204,860",,"20,004",,,"20,394","64,833","1,076","352,804",North America,929,3,,"1,097"
Costa Rica,"1,166,842",,"9,085",,,"297,046","225,157","1,753","899,158",North America,570,1,,"57,319"
Bolivia,"1,163,836",,"22,305",,,"30,838","97,046","1,860","225,590",South America,538,4,,"2,571"
Tunisia,"1,147,571",,"29,284",,N/A,N/A,"95,261","2,431","413,721",Africa,411,2,,688
Cuba,"1,112,048",,"8,530",,,148,"98,362",754,"1,262,732",North America,"1,325",1,,13
UAE,"1,047,157",,"2,348",,,"14,792","103,866",233,"19,639,290",Asia,"4,294",0,,"1,467"
Ecuador,"1,040,463",,"35,940",,"+1,111","8,885","57,442","1,984","170,173",South America,504,6,,491
Panama,"1,025,844",,"8,575",,,"2,999","230,684","1,928","1,665,132",North America,519,1,,674
Uruguay,"1,020,161",,"7,570",,,"8,285","291,807","2,165","1,749,083",South America,462,1,,"2,370"
Mongolia,"1,007,422",,"2,179",,,190,"298,223",645,"1,193,000",Asia,"1,550",1,,56
Nepal,"1,001,005",,"12,019",,,20,"33,118",398,"198,214",Asia,"2,515",5,,0.7
Belarus,"994,037",,"7,118",,,"1,327","105,381",755,"1,446,722",Europe,"1,325",1,,141
Latvia,"974,046",,"6,165",,,"17,562","526,843","3,335","4,202,095",Europe,300,0,,"9,499"
Saudi Arabia,"827,100",,"9,524",,,"2,873","23,074",266,"1,254,044",Asia,"3,764",1,,80
Azerbaijan,"826,462",,"10,008",,,400,"80,237",972,"721,704",Asia,"1,029",1,,39
Paraguay,"792,215",,"19,688",,N/A,N/A,"108,436","2,695","363,751",South America,371,3,,"10,158"
Bahrain,"698,889",,"1,539",,,476,"391,758",863,"5,963,300",Asia,"1,159",0,,267
Sri Lanka,"671,903",,"16,817",,,26,"31,141",779,"300,619",Asia,"1,283",3,,1
