Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Total Tests,Population,
None,None,None,None,None,None,None,None,None,None
USA,103888296,0,1129145,0,100943432,0,1815719,1158152822,334805269,
India,44682104,0,530737,0,44149346,0,2021,914020290,1406631776,
France,39492839,7263,164008,59,39206340,13971,122491,271490188,65584518,
Germany ,37684456,0,164844,0,37254500,35200,265112,122332384,83883596,
Brazil,36751944,0,696376,0,35735781,0,319787,63776166,215353593,
Japan,32171700,81535,65929,307,21489218,8347,10616553,90589390,125584838,
South Korea,30021018,12262,33245,10,29386991,56928,600782,15804065,51329899,
Italy,25415630,0,186488,0,24929092,0,300050,264869515,60262770,
UK,24259240,0,203229,0,23973968,6599,82043,522526476,68497907,
Russia,21903578,4702,394777,42,21315632,5466,193169,273400000,145805947,
Turkey,17042722,0,101492,0,0,0,0,162743369,85561976,
Spain,13722677,0,118183,0,13541111,0,63383,471036328,46719142,
Vietnam,11526339,7,43186,0,10612413,3,870740,85826548,98953541,
Australia,112274262,0,18902,0,11198224,0,57946,78835048,26068792,
Argentina,10032709,0,130394,0,9833303,0,69012,35716069,46010234,
Taiwan,9368483,14859,16146,24,8932063,33831,420274,29937639,23888595,
Netherland,8579731,0,22989,0,8540713,709,16029,25984435,17211447,
Iran,7563623,118,144741,4,7337159,53,81723,54420785,86022837,
Mexico,7342764,487,331897,16,6580896,5221,429971,19292750,131562772,
Indonesia,6728402,218,160793,5,6562721,453,4888,114158919,279134505,
Poland,6376214,687,118696,15,5335940,0,921578,38087611,37739785,
Colombia,6354791,0,142385,0,6175243,0,37163,36951507,51512762,
Austria,5759515,2612,21640,0,5716461,1738,21414,205462812,9066710,
Greece,5683897,0,35392,0,5633128,3844,15377,102228365,10316637,
Portugal,5562214,0,25642,0,5530819,473,5453,45879317,10140570,
Ukraine,5367032,0,110978,0,5249887,488,6167,32603805,43192122,
Chile,5106463,1174,63689,6,5038415,2041,4359,48043704,19250195,
Malaysia,5034972,0,36932,0,4987828,0,10212,67567202,33181072,
Israel,4782550,1178,12156,7,4763614,781,6780,41373364,9326000,
DPRK,4772813,0,74,0,4772739,0,0,0,25990679,
Thailand,4726512,0,33836,0,4692164,0,512,17270775,70078203,
Belgium,4688927,0,33525,0,4636721,999,18681,36517298,11668278,
Czechia,4587340,517,42287,1,4537868,39,7185,56867090,10736784,
Canada,4539229,0,50135,0,4425133,0,63961,66343123,38388419,
Peru,4479075,0,218656,0,4252270,703,8149,37662460,33684208,
Switzerland,4384899,0,14451,0,4360611,875,9837,23318743,8773637,
Philippines,4072188,116,65726,10,3996234,334,10228,34256720,112508994,
South Africa,4054522,255,102588,0,3912506,0,39428,26473049,60756135,
