Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,"104,093,499",,"1,132,132",,"101,123,639",,"1,837,728","3,828","310,908","3,381","1,159,121,148","3,462,076","334,805,269",North America,3,296,0,,,"5,489"
India,"44,682,338",,"530,738",,"44,149,694",,"1,906",698,"31,765",377,"914,564,756","650,181","1,406,631,776",Asia,31,"2,650",2,,,1
France,"39,503,473",,"164,036",,"39,228,173",,"111,264",869,"602,329","2,501","271,490,188","4,139,547","65,584,518",Europe,2,400,0,,,"1,696"
Germany,"37,728,155",,"165,314",,"37,320,300","+16,300","242,541","1,281","449,768","1,971","122,332,384","1,458,359","83,883,596",Europe,2,507,1,,,"2,891"
Brazil,"36,794,650",,"696,731",,"35,795,631",,"302,288","8,318","170,857","3,235","63,776,166","296,146","215,353,593",South America,6,309,3,,,"1,404"
Japan,"32,310,939",,"66,707",,"21,507,554",,"10,736,678",585,"257,284",531,"90,589,390","721,340","125,584,838",Asia,4,"1,883",1,,,"85,493"
S. Korea,"30,107,363","+31,711","33,332",+36,"29,506,410","+19,080","567,621",481,"586,546",649,"15,804,065","307,892","51,329,899",Asia,2,"1,540",3,618,0.7,"11,058"
Italy,"25,415,630",,"186,488",,"24,929,092",,"300,050",227,"421,747","3,095","264,869,515","4,395,243","60,262,770",Europe,2,323,0,,,"4,979"
UK,"24,259,240",,"203,229",,"23,996,200","+6,119","59,811",146,"354,160","2,967","522,526,476","7,628,357","68,497,907",Europe,3,337,0,,,873
Russia,"21,917,097",,"394,861",,"21,326,444",,"195,792","2,300","150,317","2,708","273,400,000","1,875,095","145,805,947",Europe,7,369,1,,,"1,343"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,5,843,1,,,"1,819"
Spain,"13,722,677",,"118,183",,"13,541,111",,"63,383",231,"293,727","2,530","471,036,328","10,082,298","46,719,142",Europe,3,395,0,,,"1,357"
Vietnam,"11,526,365",,"43,186",,"10,612,426",,"870,753",3,"116,483",436,"85,826,548","867,342","98,953,541",Asia,9,"2,291",1,,,"8,800"
Australia,"11,274,262",,"18,092",,"11,198,224",,"57,946",80,"432,481",694,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2,"1,441",0,,,"2,223"
Argentina,"10,032,709",,"130,394",,"9,850,867","+5,855","51,448",363,"218,054","2,834","35,716,069","776,264","46,010,234",South America,5,353,1,,,"1,118"
Taiwan,"9,404,138",,"16,189",,"8,991,170",,"396,779",,"393,666",678,"29,988,977","1,255,368","23,888,595",Asia,3,"1,476",1,,,"16,610"
Netherlands,"8,580,559",,"22,989",,"8,542,860",+659,"14,710",53,"498,538","1,336","25,984,435","1,509,718","17,211,447",Europe,2,749,1,,,855
Iran,"7,563,825",,"144,744",,"7,337,268",,"81,813",217,"87,928","1,683","54,420,785","632,632","86,022,837",Asia,11,594,2,,,951
Mexico,"7,353,630",,"332,026",,"6,589,164",,"432,440","4,798","55,894","2,524","19,292,750","146,643","131,562,772",North America,18,396,7,,,"3,287"
Indonesia,"6,728,998",,"160,799",,"6,563,599",,"4,600","2,771","24,107",576,"114,158,919","408,975","279,134,505",Asia,41,"1,736",2,,,16
Poland,"6,377,240",,"118,705",,"5,335,940",,"922,595",696,"168,979","3,145","38,096,926","1,009,463","37,739,785",Europe,6,318,1,,,"24,446"
Colombia,"6,356,309",,"142,486",,"6,179,501",,"34,322",342,"123,393","2,766","36,951,507","717,327","51,512,762",South America,8,362,1,,,666
Austria,"5,766,100",,"21,649",,"5,719,867",,"24,584",42,"635,964","2,388","211,273,524","23,302,116","9,066,710",Europe,2,419,0,,,"2,711"
Greece,"5,683,897",,"35,392",,"5,644,661","+3,845","3,844",115,"550,945","3,431","102,228,365","9,909,078","10,316,637",Europe,2,291,0,,,373
Portugal,"5,562,889",,"25,987",,"5,531,821",,"5,081",61,"548,578","2,563","45,904,344","4,526,801","10,140,570",Europe,2,390,0,,,501
Ukraine,"5,367,032",,"110,978",,"5,251,223",+425,"4,831",,"124,260","2,569","32,603,805","754,855","43,192,122",Europe,8,389,1,,,112
Chile,"5,111,145",,"63,730",,"5,042,360",,"5,055",117,"265,511","3,311","48,073,891","2,497,320","19,250,195",South America,4,302,0,,,263
Malaysia,"5,035,377",,"36,936",,"4,988,814",,"9,627",13,"151,755","1,113","67,606,154","2,037,492","33,181,072",Asia,7,898,0,,,290
Israel,"4,783,787",,"12,170",,"4,764,639",,"6,978",57,"512,952","1,305","41,373,364","4,436,346","9,326,000",Asia,2,766,0,,,748
Thailand,"4,726,512",,"33,836",,"4,692,164",,512,"1,496","67,446",483,"17,270,775","246,450","70,078,203",Asia,15,"2,071",4,,,7
Belgium,"4,688,927",,"33,525",,"4,639,718",+999,"15,684",73,"401,853","2,873","36,517,298","3,129,622","11,668,278",Europe,2,348,0,,,"1,344"
Czechia,"4,588,086",,"42,296",,"4,538,008",,"7,782",26,"427,324","3,939","56,875,303","5,297,238","10,736,784",Europe,2,254,0,,,725
Canada,"4,539,229",,"50,135",,"4,432,338","+2,402","56,756",99,"118,245","1,306","66,343,123","1,728,207","38,388,419",North America,8,766,1,,,"1,478"
Peru,"4,480,009",,"218,686",,"4,255,135",+597,"6,188",66,"133,000","6,492","37,689,392","1,118,904","33,684,208",South America,8,154,1,,,184
Switzerland,"4,385,701",,"14,452",,"4,363,027","+1,262","8,222",43,"499,873","1,647","23,318,743","2,657,819","8,773,637",Europe,2,607,0,,,937
Philippines,"4,072,488",,"65,735",,"3,996,679",,"10,074",162,"36,197",584,"34,279,275","304,680","112,508,994",Asia,28,"1,712",3,,,90
