Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
USA,"103,123,617",,"1,121,298",,,"1,975,171","308,011","3,349","3,451,831",North America,299,0,,"5,899"
India,"44,681,355",,"530,721",,,"3,632","31,765",377,"648,323",Asia,"2,650",2,,3
France,"39,409,429",,"162,990",,,"438,312","600,895","2,485","4,139,547",Europe,402,0,,"6,683"
Germany,"37,540,072",,"162,975",,"+44,400","471,397","447,526","1,943","1,458,359",Europe,515,1,,"5,620"
Brazil,"36,515,758",,"694,949",,,"573,054","169,562","3,227","296,146",South America,310,3,,"2,661"
Japan,"30,568,877",,"60,158",,,"9,243,487","243,412",479,"703,821",Asia,"2,088",1,,"73,604"
S. Korea,"29,599,747","+60,041","32,669",+44,"+68,133","1,065,145","576,657",636,"307,892",Asia,"1,571",3,0.9,"20,751"
Italy,"25,279,682",,"185,417",,,"406,182","419,491","3,077","4,371,100",Europe,325,0,,"6,740"
UK,"24,210,131",,"201,028",,"+7,083","120,237","353,443","2,935","7,628,357",Europe,341,0,,"1,755"
Russia,"21,829,736",,"394,121",,,"187,066","149,718","2,703","1,875,095",Europe,370,1,,"1,283"
Turkey,"17,042,722",,"101,492",,N/A,N/A,"199,186","1,186","1,902,052",Asia,843,1,,"1,819"
Spain,"13,693,478",,"117,413",,,"73,259","293,102","2,513","10,082,298",Europe,398,0,,"1,568"
Vietnam,"11,525,834",,"43,186",,,"871,137","116,477",436,"867,342",Asia,"2,291",1,,"8,803"
Australia,"11,210,155","+1,262","17,349",+29,,"140,113","430,022",666,"3,024,116",Australia/Oceania,"1,503",0,1,"5,375"
Argentina,"10,004,679",,"130,249",,,"175,443","217,445","2,831","776,264",South America,353,1,,"3,813"
Taiwan,"9,072,505",,"15,582",,,"466,980","379,784",652,"1,236,797",Asia,"1,533",1,,"19,548"
Netherlands,"8,574,631",,"22,989",,+642,"23,678","498,193","1,336","1,509,718",Europe,749,1,,"1,376"
Iran,"7,562,060",,"144,710",,,"80,861","87,908","1,682","632,632",Asia,594,2,,940
Mexico,"7,283,849",,"331,324",,,"438,180","55,364","2,518","145,577",North America,397,7,,"3,331"
Indonesia,"6,723,812",,"160,694",,,"8,066","24,088",576,"408,975",Asia,"1,737",2,,29
Poland,"6,371,362",,"118,586",,,"916,836","168,823","3,142","1,007,530",Europe,318,1,,"24,294"
Colombia,"6,349,971",,"142,259",,,"37,352","123,270","2,762","717,327",South America,362,1,,725
Austria,"5,728,141",,"21,490",,,"31,335","631,777","2,370","22,584,568",Europe,422,0,,"3,456"
Portugal,"5,557,941",,"25,805",,+887,"7,299","548,090","2,545","4,519,125",Europe,393,0,,720
Ukraine,"5,361,352",,"110,859",,+622,"7,237","124,128","2,567","754,855",Europe,390,1,,168
Chile,"5,069,041",,"63,373",,,"9,614","263,324","3,292","2,484,897",South America,304,0,,499
Malaysia,"5,030,696",,"36,883",,,"11,414","151,613","1,112","2,028,567",Asia,900,0,,344
Israel,"4,771,681",,"12,098",,,"9,450","511,654","1,297","4,436,346",Asia,771,0,,"1,013"
Thailand,"4,724,916",,"33,727",,,"1,081","67,423",481,"246,450",Asia,"2,078",4,,15
Belgium,"4,682,234",,"33,395",,"+1,608","30,976","401,279","2,862","3,122,706",Europe,349,0,,"2,655"
Czechia,"4,582,978",,"42,205",,,"4,449","426,848","3,931","5,291,469",Europe,254,0,,414
Canada,"4,508,275",,"49,566",,,"67,436","117,438","1,291","1,728,207",North America,774,1,,"1,757"
Peru,"4,469,601",,"218,387",,"+1,712","23,853","132,691","6,483","1,112,557",South America,154,1,,708
Switzerland,"4,382,359",,"14,388",,"+2,286","34,525","499,492","1,640","2,654,772",Europe,610,0,,"3,935"
Philippines,"4,068,054",,"65,486",,,"12,267","36,158",582,"303,017",Asia,"1,718",3,,109
South Africa,"4,050,288",,"102,568",,,"35,214","66,665","1,688","435,726",Africa,592,2,,580
Romania,"3,316,192",,"67,460",,,"11,144","174,249","3,545","1,374,506",Europe,282,1,,586
Denmark,"3,170,606",,"7,931",,,"8,349","543,382","1,359","22,120,814",Europe,736,0,,"1,431"
Hong Kong,"2,781,581",,"12,406",,,"623,605","365,791","1,631","9,912,187",Asia,613,0,,"82,007"
Sweden,"2,683,356",,"22,110",,+998,"38,555","262,586","2,164","1,891,883",Europe,462,1,,"3,773"
Iraq,"2,465,545",,"25,375",,,673,"58,474",602,"463,523",Asia,"1,662",2,,16
Serbia,"2,454,074",,"17,568",,,"15,944","283,609","2,030","1,380,309",Europe,493,1,,"1,843"
Singapore,"2,208,601",,"1,714",,,"71,580","371,597",288,"4,165,098",Asia,"3,468",0,,"12,043"
Hungary,"2,188,737",,"48,546",,,"13,070","227,845","5,054","1,186,160",Europe,198,1,,"1,361"
New Zealand,"2,138,754",,"3,621",,,"20,415","436,641",739,"1,574,177",Australia/Oceania,"1,353",1,,"4,168"
Bangladesh,"2,037,284",,"29,440",,,"19,130","12,135",175,"90,328",Asia,"5,703",11,,114
Slovakia,"1,859,705",,"20,849",,,996,"340,593","3,818","1,351,258",Europe,262,1,,182
Georgia,"1,809,359",,"16,899",,,"15,912","455,903","4,258","4,263,340",Asia,235,0,,"4,009"
Jordan,"1,746,997",,"14,122",,,"1,868","169,597","1,371","1,669,945",Asia,729,1,,181
Ireland,"1,693,847",,"8,339",,,"10,128","337,406","1,661","2,578,781",Europe,602,0,,"2,017"
Pakistan,"1,575,977",+7,"30,639",,,"6,649","6,867",134,"133,213",Asia,"7,490",8,,29
Norway,"1,476,403",,"4,571",,,"2,555","267,883",829,"1,996,315",Europe,"1,206",1,,464
Finland,"1,446,397",,"8,263",,"+1,313","13,789","260,379","1,487","2,157,378",Europe,672,0,,"2,482"
Kazakhstan,"1,404,209",,"13,695",,,"7,494","73,117",713,"602,707",Asia,"1,402",2,,390
Slovenia,"1,313,870",,"7,025",,,"13,666","632,266","3,381","1,353,118",Europe,296,1,,"6,576"
Bulgaria,"1,293,491",,"38,127",,,"4,092","188,980","5,570","1,595,946",Europe,180,1,,598
Lithuania,"1,290,948",,"9,502",,,"6,704","485,007","3,570","3,879,476",Europe,280,0,,"2,519"
Morocco,"1,271,887",,"16,295",,,297,"33,672",431,"340,992",Africa,"2,318",3,,8
Croatia,"1,265,530",,"17,706",,,"1,415","311,762","4,362","1,340,097",Europe,229,1,,349
Lebanon,"1,224,084",,"10,755",,,"125,742","183,113","1,609","717,380",Asia,622,1,,"18,810"
Guatemala,"1,211,421",,"20,020",,,"14,971","65,186","1,077","355,148",North America,928,3,,806
Bolivia,"1,172,105",,"22,320",,,"29,099","97,735","1,861","225,590",South America,537,4,,"2,426"
Costa Rica,"1,171,802",,"9,104",,,"301,987","226,114","1,757","899,158",North America,569,1,,"58,272"
Tunisia,"1,147,645",,"29,285",,N/A,N/A,"95,267","2,431","413,829",Africa,411,2,,694
